1436725352,89,1,中春別農協,H28.3.25,2.3,2535,,H30.2.26,H30.4.4,H30.7.19,106,H30.4.11,H29.7.2,7.5,3.6,14.9,213,96,41,10.6,5,55,147,139,414.1
1436725352,89,1,中春別農協,H28.3.25,2.6,2535,,H30.2.26,2018/04/04,H30.10.18,197,H30.4.11,H29.7.2,7.5,3.7,11.1,285,92,43,10.3,5.9,57,42,,
1436814124,5,1,道東あさひ上春別支所,H28.1.2,2.4,1412,,H30.2.15,H30.3.18,H30.5.17,60,H30.3.24,H29.6.14,7.7,3.2,10,166,88,25,12.1,4.4,71,127,171,547.5
1436814124,5,1,道東あさひ上春別支所,H28.1.2,2.5,1412,,H30.2.15,H30.3.18,H30.6.21,95,H30.3.24,H29.6.14,7,3.3,13,159,88,28,13.5,6.8,58,142,140,355.3
1438312420,2,1,釧路丹頂幌呂支所,H28.4.29,2.1,1242,,H30.2.15,H30.3.19,H30.6.21,94,H30.3.11,H29.6.1,7.4,3.7,13.2,247,82,40,11.3,7.5,48,114,166,462.2
1459513783,3,1,釧路市場,H28.4.14,2.2,1378,,H30.2.15,H30.3.10,H30.6.21,103,H30.3.17,H29.6.7,8,3.6,14,156,103,29,11.1,4.1,51,141,124,414.8
1460912186,92,1,中春別農協,2015/12/30,2.2,1218,A,H30.2.26,H30.4.1,H30.3.26,-6,H30.4.9,H29.6.30,6.3,3.5,9.5,63,68,14,10.2,5.7,70,104,326,587
1460912186,92,1,中春別農協,2015/12/30,2.6,1218,A,H30.2.26,H30.4.1,H30.7.19,109,H30.4.9,H29.6.30,7.5,3.5,11.5,293,81,31,10.5,5.5,51,175,285,425.8
1460912186,92,1,中春別農協,H27.12.30,2.6,1218,,H30.2.26,H30.4.1,H30.8.16,137,H30.4.9,H29.6.30,7.8,3.5,11.3,195,158,70,10.8,4.3,63,117,144,534.9
1460912186,92,1,中春別農協,H27.12.30,2.7,1218,,H30.2.26,H30.4.1,H30.9.20,172,H30.4.9,H29.6.30,8,3.3,14.3,292,104,34,10.3,5.8,57,59,106,380.4
1460912186,92,1,中春別農協,H27.12.30,2.8,1218,,H30.2.26,H30.4.1,H30.10.18,200,H30.4.9,H29.6.30,8.1,3.6,13.1,359,109,36,10.5,3.9,65,43,,
1461212865,87,1,標津町農協,2016/02/11,2.1,1286,A,H30.2.26,H30.4.10,H30.3.26,-15,H30.4.20,H29.7.11,6.3,3.4,9.8,44,72,22,10.1,5.2,70,116,121.9,426.3
1461212865,87,1,標津町農協,H28.2.11,2.3,1286,,H30.2.26,H30.4.10,H30.5.17,37,H30.4.20,H29.7.11,6.9,3.6,10.4,165,76,25,10.4,4.9,54,135,608,648
1461212865,87,1,標津町農協,2016/02/11,2.4,1286,A,H30.2.26,H30.4.10,H30.7.19,100,H30.4.20,H29.7.11,7,3.7,14.8,226,80,32,11,5.2,53,124,746,382.7
1461212865,87,1,標津町農協,H28.2.11,2.6,1286,,H30.2.26,H30.4.10,H30.9.20,163,H30.4.20,H29.7.11,8.1,3.2,10.9,213,77,42,9.9,5.8,64,56,134,318.3
1461212865,87,1,標津町農協,H28.2.11,2.7,1286,,H30.2.26,H30.4.10,H30.10.18,191,H30.4.20,H29.7.11,8.4,3.6,9.1,289,99,47,10.7,4.1,65,48,,
1465611121,7,1,道東あさひ上春別支所,H28.4.12,2.2,1112,,H30.2.15,H30.3.30,H30.6.21,83,H30.3.31,H29.6.21,9.2,3.7,12.5,228,93,52,10.2,5.2,38,170,530,415.6
1466606560,55,1,根室市場,H28.3.14,2,656,A,H30.2.22,H30.4.5,H30.3.26,-10,H30.4.15,H29.7.6,6.1,3.6,12.1,84,68,22,10.4,6,66,122,124,537
